vehicle_age,vehicle_type,fuel_type,usage_type,vehicle_value,driver_age,annual_mileage,credit_score_tier,previous_claims_count,coverage_tier,deductible_amount,annual_premium,claim_filed,claim_amount
9,SEDAN,PETROL,COMMERCIAL,11143.68,72,19122,GOOD,1,THIRD_PARTY,500.0,250.0,1,3184.24
2,SEDAN,PETROL,COMMERCIAL,22657.02,59,13438,POOR,0,COMPREHENSIVE,500.0,871.73,1,748.22
1,TRUCK,HYBRID,RIDESHARE,49268.29,31,11861,POOR,0,COMPREHENSIVE,500.0,2106.22,0,0.0
4,HATCHBACK,PETROL,PERSONAL,10691.98,25,9333,FAIR,0,ZERO_DEP_PREMIUM,250.0,374.22,0,0.0
12,SUV,PETROL,PERSONAL,10813.07,20,15234,GOOD,0,COMPREHENSIVE,500.0,385.22,1,1741.68
13,TRUCK,PETROL,COMMERCIAL,16511.96,52,11353,FAIR,0,COMPREHENSIVE,500.0,635.3,0,0.0
3,HATCHBACK,PETROL,PERSONAL,15612.28,44,9950,GOOD,0,COMPREHENSIVE,1000.0,444.95,0,0.0
11,SEDAN,ELECTRIC,COMMERCIAL,7950.74,51,8089,GOOD,0,ZERO_DEP_PREMIUM,500.0,375.67,0,0.0
5,TRUCK,CNG,PERSONAL,25268.24,45,11164,GOOD,1,THIRD_PARTY,500.0,315.85,0,0.0
15,SUV,PETROL,PERSONAL,11176.66,48,15643,FAIR,1,COMPREHENSIVE,500.0,318.53,0,0.0
4,HATCHBACK,HYBRID,PERSONAL,8290.28,34,10191,EXCELLENT,0,COMPREHENSIVE,500.0,250.0,0,0.0
15,TRUCK,DIESEL,PERSONAL,9923.5,36,12654,EXCELLENT,0,COMPREHENSIVE,1000.0,282.82,0,0.0
5,SEDAN,PETROL,PERSONAL,16449.47,59,9993,POOR,1,COMPREHENSIVE,500.0,468.81,0,0.0
3,SEDAN,DIESEL,PERSONAL,16280.68,61,13266,GOOD,0,THIRD_PARTY,250.0,250.0,0,0.0
13,SEDAN,DIESEL,PERSONAL,6301.73,76,12874,EXCELLENT,0,ZERO_DEP_PREMIUM,1000.0,253.64,1,466.6
12,SUV,DIESEL,PERSONAL,11578.97,72,8957,GOOD,1,COMPREHENSIVE,500.0,379.5,0,0.0
2,HATCHBACK,HYBRID,PERSONAL,16272.7,28,16243,GOOD,1,ZERO_DEP_PREMIUM,1000.0,569.54,0,0.0
0,TRUCK,PETROL,PERSONAL,56679.18,26,5947,EXCELLENT,0,COMPREHENSIVE,250.0,1615.36,0,0.0
4,SEDAN,HYBRID,COMMERCIAL,24702.13,47,17608,EXCELLENT,0,THIRD_PARTY,500.0,416.85,0,0.0
5,SUV,ELECTRIC,PERSONAL,16889.05,74,13981,GOOD,0,COMPREHENSIVE,500.0,553.54,0,0.0
4,SUV,DIESEL,PERSONAL,21025.35,62,15145,EXCELLENT,0,ZERO_DEP_PREMIUM,500.0,735.89,0,0.0
4,SEDAN,DIESEL,RIDESHARE,21923.87,23,5072,GOOD,0,COMPREHENSIVE,500.0,1171.56,0,0.0
11,SEDAN,PETROL,RIDESHARE,9936.11,31,12270,EXCELLENT,1,COMPREHENSIVE,500.0,424.77,1,2122.86
5,SEDAN,CNG,PERSONAL,15078.97,48,19401,EXCELLENT,0,ZERO_DEP_PREMIUM,500.0,527.76,1,2819.57
3,TRUCK,DIESEL,COMMERCIAL,27981.72,71,11846,FAIR,2,COMPREHENSIVE,1000.0,1238.09,0,0.0
13,SEDAN,PETROL,PERSONAL,6838.82,28,13086,FAIR,0,COMPREHENSIVE,500.0,250.0,0,0.0
11,SUV,PETROL,PERSONAL,12763.68,22,7351,GOOD,0,THIRD_PARTY,500.0,250.0,0,0.0
3,HATCHBACK,DIESEL,PERSONAL,9935.15,48,6024,EXCELLENT,0,THIRD_PARTY,2000.0,250.0,0,0.0
10,SEDAN,PETROL,PERSONAL,13921.2,19,13536,EXCELLENT,0,COMPREHENSIVE,500.0,495.94,0,0.0
12,COMMERCIAL_VAN,PETROL,COMMERCIAL,9500.73,56,9448,FAIR,0,THIRD_PARTY,500.0,250.0,0,0.0
7,COMMERCIAL_VAN,DIESEL,PERSONAL,27293.44,34,10008,EXCELLENT,0,COMPREHENSIVE,1000.0,777.86,0,0.0
10,SEDAN,PETROL,RIDESHARE,13054.19,55,12784,FAIR,2,ZERO_DEP_PREMIUM,500.0,685.34,0,0.0
7,SUV,PETROL,PERSONAL,18532.82,63,15588,GOOD,0,COMPREHENSIVE,1000.0,528.19,0,0.0
11,SEDAN,PETROL,PERSONAL,11220.96,53,14865,FAIR,1,COMPREHENSIVE,500.0,319.8,1,1386.78
2,SEDAN,PETROL,PERSONAL,25192.11,20,12948,GOOD,0,COMPREHENSIVE,250.0,897.47,0,0.0
6,SEDAN,DIESEL,RIDESHARE,12539.59,60,16492,GOOD,1,THIRD_PARTY,500.0,250.0,0,0.0
14,SUV,DIESEL,PERSONAL,9011.21,46,17197,GOOD,0,THIRD_PARTY,1000.0,250.0,1,628.9
4,SUV,PETROL,COMMERCIAL,26148.1,50,11907,GOOD,1,COMPREHENSIVE,500.0,1006.05,0,0.0
4,SEDAN,PETROL,RIDESHARE,20441.35,31,20007,FAIR,0,COMPREHENSIVE,500.0,873.87,0,0.0
11,SEDAN,DIESEL,PERSONAL,9950.92,55,7607,EXCELLENT,1,THIRD_PARTY,2000.0,250.0,0,0.0
12,TRUCK,PETROL,PERSONAL,14630.07,46,5601,GOOD,0,COMPREHENSIVE,500.0,416.96,0,0.0
2,SEDAN,PETROL,COMMERCIAL,21750.35,40,18725,GOOD,0,COMPREHENSIVE,1000.0,836.84,0,0.0
1,SEDAN,PETROL,RIDESHARE,24814.26,76,9349,GOOD,2,ZERO_DEP_PREMIUM,1000.0,1498.16,0,0.0
12,SUV,ELECTRIC,PERSONAL,11656.09,34,3000,EXCELLENT,2,COMPREHENSIVE,250.0,332.2,0,0.0
2,COMMERCIAL_VAN,ELECTRIC,PERSONAL,33951.59,76,11033,POOR,2,COMPREHENSIVE,1000.0,1112.76,1,9678.66
14,SEDAN,ELECTRIC,PERSONAL,9175.92,66,18029,GOOD,0,COMPREHENSIVE,2000.0,261.51,0,0.0
6,SUV,ELECTRIC,PERSONAL,23366.29,72,11116,POOR,0,COMPREHENSIVE,1000.0,765.83,0,0.0
2,HATCHBACK,DIESEL,PERSONAL,15976.83,28,4511,FAIR,0,ZERO_DEP_PREMIUM,500.0,559.19,1,2344.58
15,SEDAN,DIESEL,PERSONAL,7065.27,45,11196,EXCELLENT,0,THIRD_PARTY,500.0,250.0,1,645.89
14,HATCHBACK,DIESEL,PERSONAL,4914.05,71,11664,EXCELLENT,0,ZERO_DEP_PREMIUM,500.0,250.0,1,514.62
10,SEDAN,PETROL,PERSONAL,11186.35,24,10987,FAIR,2,THIRD_PARTY,1000.0,250.0,0,0.0
15,SUV,DIESEL,PERSONAL,6288.33,62,9263,GOOD,1,COMPREHENSIVE,250.0,250.0,0,0.0
12,SUV,ELECTRIC,PERSONAL,16249.5,57,9477,EXCELLENT,0,COMPREHENSIVE,500.0,463.11,0,0.0
1,SUV,DIESEL,PERSONAL,23702.73,25,15774,POOR,0,THIRD_PARTY,500.0,296.28,0,0.0
3,SEDAN,PETROL,PERSONAL,19134.44,58,9890,GOOD,0,COMPREHENSIVE,500.0,545.33,0,0.0
11,HATCHBACK,PETROL,PERSONAL,4500.0,46,13226,GOOD,0,COMPREHENSIVE,1000.0,250.0,1,631.32
4,SEDAN,DIESEL,PERSONAL,13690.37,42,13210,GOOD,0,COMPREHENSIVE,1000.0,390.18,0,0.0
12,SEDAN,DIESEL,PERSONAL,10526.31,24,9726,FAIR,0,COMPREHENSIVE,500.0,375.0,0,0.0
6,SEDAN,HYBRID,PERSONAL,14737.26,74,9114,EXCELLENT,0,COMPREHENSIVE,500.0,483.01,0,0.0
0,SUV,PETROL,COMMERCIAL,45388.7,39,12814,GOOD,1,COMPREHENSIVE,1000.0,1746.33,0,0.0
13,SUV,ELECTRIC,PERSONAL,9412.27,26,5064,GOOD,0,THIRD_PARTY,1000.0,250.0,1,1317.05
7,SEDAN,DIESEL,PERSONAL,11817.1,28,21472,FAIR,0,COMPREHENSIVE,1000.0,336.79,0,0.0
9,SUV,HYBRID,COMMERCIAL,13493.07,51,9922,FAIR,0,COMPREHENSIVE,500.0,519.15,0,0.0
2,SEDAN,DIESEL,PERSONAL,24357.61,44,10742,GOOD,1,COMPREHENSIVE,250.0,694.19,0,0.0
13,SUV,DIESEL,RIDESHARE,13421.93,67,15814,GOOD,0,THIRD_PARTY,500.0,251.66,0,0.0
10,SEDAN,DIESEL,PERSONAL,10292.72,39,11735,GOOD,0,COMPREHENSIVE,1000.0,293.34,0,0.0
5,SUV,ELECTRIC,PERSONAL,21689.53,20,10620,GOOD,0,COMPREHENSIVE,500.0,772.69,1,4041.6
3,SUV,CNG,PERSONAL,37478.25,67,6482,POOR,0,THIRD_PARTY,2000.0,468.48,1,10976.17
13,TRUCK,PETROL,PERSONAL,10093.61,65,12958,GOOD,0,ZERO_DEP_PREMIUM,250.0,353.28,0,0.0
4,SEDAN,PETROL,PERSONAL,18554.13,57,10039,POOR,1,ZERO_DEP_PREMIUM,500.0,649.39,0,0.0
9,SEDAN,HYBRID,PERSONAL,10969.76,72,21866,FAIR,0,COMPREHENSIVE,500.0,359.53,0,0.0
11,SEDAN,DIESEL,PERSONAL,7082.38,25,11576,EXCELLENT,1,THIRD_PARTY,500.0,250.0,0,0.0
14,TRUCK,DIESEL,COMMERCIAL,10430.81,23,3000,FAIR,0,ZERO_DEP_PREMIUM,1000.0,616.07,0,0.0
5,TRUCK,DIESEL,PERSONAL,19766.84,74,16775,EXCELLENT,0,COMPREHENSIVE,500.0,647.86,0,0.0
1,SEDAN,PETROL,PERSONAL,31086.12,42,7999,GOOD,0,THIRD_PARTY,500.0,388.58,0,0.0
12,SUV,ELECTRIC,PERSONAL,13066.0,19,12978,GOOD,1,COMPREHENSIVE,250.0,465.48,1,4080.18
14,HATCHBACK,ELECTRIC,PERSONAL,5428.48,33,18821,FAIR,0,COMPREHENSIVE,500.0,250.0,1,694.92
2,SUV,PETROL,PERSONAL,31751.98,75,11110,EXCELLENT,1,THIRD_PARTY,250.0,456.43,0,0.0
14,SUV,PETROL,PERSONAL,10763.83,70,11578,FAIR,0,THIRD_PARTY,250.0,250.0,1,2174.06
7,SEDAN,ELECTRIC,PERSONAL,15996.62,58,16705,POOR,1,COMPREHENSIVE,250.0,455.9,0,0.0
7,SEDAN,PETROL,RIDESHARE,17944.95,68,18915,EXCELLENT,1,THIRD_PARTY,250.0,336.47,1,2339.05
0,TRUCK,HYBRID,PERSONAL,33625.96,38,11882,FAIR,0,THIRD_PARTY,2000.0,420.32,1,11794.27
9,TRUCK,PETROL,PERSONAL,17542.22,32,21601,EXCELLENT,1,THIRD_PARTY,500.0,250.0,0,0.0
7,SUV,DIESEL,PERSONAL,22255.58,73,4676,EXCELLENT,0,ZERO_DEP_PREMIUM,1000.0,895.79,0,0.0
10,SEDAN,HYBRID,PERSONAL,13879.56,51,8438,POOR,0,ZERO_DEP_PREMIUM,1000.0,485.78,0,0.0
1,SEDAN,DIESEL,PERSONAL,32806.13,64,10350,GOOD,0,COMPREHENSIVE,1000.0,934.97,0,0.0
9,HATCHBACK,PETROL,COMMERCIAL,7851.12,71,17254,GOOD,2,COMPREHENSIVE,250.0,347.38,0,0.0
9,TRUCK,DIESEL,RIDESHARE,15731.91,60,13537,GOOD,2,COMPREHENSIVE,500.0,672.54,0,0.0
12,TRUCK,PETROL,PERSONAL,11116.26,37,9462,EXCELLENT,0,COMPREHENSIVE,500.0,316.81,0,0.0
7,HATCHBACK,PETROL,PERSONAL,11263.16,61,7433,GOOD,0,THIRD_PARTY,500.0,250.0,0,0.0
11,SUV,CNG,PERSONAL,12805.1,48,5779,EXCELLENT,0,COMPREHENSIVE,500.0,364.95,0,0.0
9,SEDAN,ELECTRIC,PERSONAL,9305.61,32,14822,EXCELLENT,0,THIRD_PARTY,500.0,250.0,0,0.0
4,SEDAN,DIESEL,PERSONAL,24136.22,65,10747,POOR,1,COMPREHENSIVE,1000.0,687.88,0,0.0
0,TRUCK,PETROL,PERSONAL,34019.35,45,17064,POOR,0,ZERO_DEP_PREMIUM,250.0,1190.68,0,0.0
7,SUV,PETROL,PERSONAL,22523.13,23,6049,GOOD,0,THIRD_PARTY,1000.0,351.92,0,0.0
11,SEDAN,PETROL,PERSONAL,10482.15,20,14422,EXCELLENT,0,COMPREHENSIVE,250.0,373.43,0,0.0
4,SEDAN,DIESEL,COMMERCIAL,13575.63,55,12308,GOOD,1,THIRD_PARTY,1000.0,250.0,0,0.0
14,SUV,ELECTRIC,COMMERCIAL,9009.05,40,9739,FAIR,0,ZERO_DEP_PREMIUM,1000.0,425.68,0,0.0
0,SEDAN,DIESEL,PERSONAL,20928.74,75,10065,EXCELLENT,0,COMPREHENSIVE,250.0,685.94,0,0.0
14,SEDAN,ELECTRIC,PERSONAL,7798.13,20,12963,EXCELLENT,2,ZERO_DEP_PREMIUM,2000.0,341.17,0,0.0
3,SUV,PETROL,RIDESHARE,28050.36,70,12358,FAIR,0,COMPREHENSIVE,500.0,1379.03,0,0.0
