claim_filed,claim_amount,fraud_flag,settlement_days,vehicle_age,vehicle_type,fuel_type,vehicle_value,engine_capacity_cc,safety_rating_ncap,anti_theft_device,driver_age,driving_experience_years,annual_mileage,usage_type,credit_score_tier,speeding_violations_count,past_claims_count,coverage_tier,deductible_amount,no_claim_bonus_pct,annual_premium,risk_zone,parking_location
0,0.0,0,0,16,LUXURY_COUPE,PETROL,20219.93,2820,1,0,33,14,23300,COMMUTE,GOOD,2,1,ZERO_DEP_PREMIUM,500,0,1341.43,METROPOLITAN,PRIVATE_DRIVEWAY
1,4639.59,0,20,1,COMMERCIAL_VAN,PETROL,22203.64,1600,5,1,57,33,6300,PERSONAL,POOR,0,0,THIRD_PARTY,500,0,385.89,URBAN,STREET_PARKING
0,0.0,0,0,16,COMMERCIAL_VAN,DIESEL,7979.64,2240,2,0,50,21,15900,PERSONAL,EXCELLENT,1,0,THIRD_PARTY,1000,0,250.0,METROPOLITAN,STREET_PARKING
0,0.0,0,0,15,SUV,DIESEL,9505.0,1320,3,0,64,32,13300,COMMERCIAL,FAIR,1,1,THIRD_PARTY,250,0,250.0,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,5,SEDAN,HYBRID,15855.4,1910,5,1,46,24,13200,COMMUTE,EXCELLENT,0,0,COMPREHENSIVE,500,25,434.54,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,12,SUV,DIESEL,13397.2,1450,4,1,49,13,11000,COMMERCIAL,GOOD,3,1,COMPREHENSIVE,250,35,710.65,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,3,SUV,PETROL,24604.38,800,5,1,36,17,9400,PERSONAL,GOOD,0,0,ZERO_DEP_PREMIUM,500,35,926.73,SUBURBAN,LOCKED_GARAGE
1,4961.28,0,8,14,SEDAN,CNG,6454.32,2010,5,0,18,0,18900,COMMERCIAL,POOR,2,0,COMPREHENSIVE,2000,35,273.19,METROPOLITAN,LOCKED_GARAGE
1,1917.2,0,25,13,HATCHBACK,DIESEL,4569.32,800,4,0,34,15,2000,PERSONAL,POOR,0,0,ZERO_DEP_PREMIUM,500,20,250.0,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,6,LUXURY_COUPE,PETROL,43379.98,2400,3,0,32,14,20700,RIDESHARE,GOOD,4,0,THIRD_PARTY,1000,25,1065.31,URBAN,STREET_PARKING
0,0.0,0,0,1,HATCHBACK,HYBRID,10868.91,1510,5,1,23,2,11200,COMMUTE,GOOD,2,0,COMPREHENSIVE,250,50,352.38,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,18,SUV,PETROL,7038.34,1590,5,1,44,25,15400,COMMUTE,GOOD,2,1,THIRD_PARTY,500,0,250.0,METROPOLITAN,STREET_PARKING
0,0.0,0,0,8,SUV,PETROL,12879.06,1630,5,0,55,20,18400,COMMUTE,GOOD,1,1,COMPREHENSIVE,250,0,453.61,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,16,SEDAN,DIESEL,5892.14,1620,1,1,35,12,22500,COMMERCIAL,POOR,0,0,ZERO_DEP_PREMIUM,250,25,296.33,SUBURBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,12,SEDAN,DIESEL,7905.73,1840,4,1,47,13,9200,PERSONAL,EXCELLENT,0,0,COMPREHENSIVE,500,0,295.12,URBAN,PRIVATE_DRIVEWAY
1,4000.0,0,10,14,HATCHBACK,DIESEL,4000.0,1530,1,1,34,9,11200,COMMERCIAL,GOOD,1,3,ZERO_DEP_PREMIUM,500,45,250.0,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,14,SUV,CNG,7882.19,3300,4,0,40,12,3800,PERSONAL,FAIR,0,0,COMPREHENSIVE,500,0,304.66,METROPOLITAN,LOCKED_GARAGE
1,4901.86,0,21,3,HATCHBACK,PETROL,13594.43,1380,5,0,34,8,16500,COMMERCIAL,GOOD,3,0,THIRD_PARTY,500,45,250.0,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,6,TRUCK,CNG,26369.83,1510,4,1,46,25,27200,COMMUTE,EXCELLENT,1,0,COMPREHENSIVE,250,25,836.81,SUBURBAN,STREET_PARKING
0,0.0,0,0,8,SEDAN,PETROL,11500.01,800,5,1,50,32,10500,COMMERCIAL,GOOD,2,0,THIRD_PARTY,1000,0,329.49,METROPOLITAN,LOCKED_GARAGE
0,0.0,0,0,9,SEDAN,PETROL,11306.28,2030,5,1,66,28,12400,COMMERCIAL,EXCELLENT,0,0,ZERO_DEP_PREMIUM,500,35,561.92,URBAN,LOCKED_GARAGE
1,8896.35,0,28,0,SEDAN,PETROL,27405.41,800,3,1,34,13,17100,COMMERCIAL,POOR,3,1,COMPREHENSIVE,250,25,1575.85,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,10,SEDAN,PETROL,10639.13,810,5,1,39,10,13400,PERSONAL,POOR,1,0,THIRD_PARTY,1000,0,250.0,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,2,HATCHBACK,PETROL,11876.99,800,2,1,58,39,19200,COMMERCIAL,FAIR,0,1,THIRD_PARTY,500,20,256.25,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,14,TRUCK,HYBRID,9449.3,2600,4,1,37,16,13700,COMMERCIAL,POOR,0,0,COMPREHENSIVE,500,25,341.54,SUBURBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,12,COMMERCIAL_VAN,HYBRID,10767.18,2460,2,0,49,25,20400,RIDESHARE,GOOD,0,1,COMPREHENSIVE,500,45,375.67,URBAN,LOCKED_GARAGE
0,0.0,0,0,17,HATCHBACK,ELECTRIC,4000.0,990,4,1,35,9,11000,PERSONAL,POOR,2,0,ZERO_DEP_PREMIUM,500,45,250.0,METROPOLITAN,STREET_PARKING
0,0.0,0,0,14,SUV,PETROL,7510.84,1870,2,0,48,21,14600,PERSONAL,EXCELLENT,0,0,COMPREHENSIVE,500,0,250.0,URBAN,STREET_PARKING
0,0.0,0,0,6,SEDAN,HYBRID,14719.97,800,5,1,50,21,7800,COMMUTE,FAIR,2,0,THIRD_PARTY,500,0,250.0,SUBURBAN,STREET_PARKING
0,0.0,0,0,18,SUV,PETROL,9458.33,1120,2,0,60,39,9800,PERSONAL,GOOD,0,0,THIRD_PARTY,500,0,250.0,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,7,SUV,ELECTRIC,21547.97,1990,5,1,31,10,14700,COMMUTE,GOOD,3,0,THIRD_PARTY,250,25,418.75,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,6,COMMERCIAL_VAN,DIESEL,19112.22,1400,2,1,49,18,14000,COMMERCIAL,EXCELLENT,2,0,THIRD_PARTY,1000,35,286.79,RURAL,PRIVATE_DRIVEWAY
0,0.0,0,0,17,SUV,PETROL,8834.25,2250,3,0,40,10,20400,RIDESHARE,GOOD,1,1,ZERO_DEP_PREMIUM,1000,0,682.32,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,7,SEDAN,DIESEL,13543.92,800,5,0,19,1,16200,PERSONAL,EXCELLENT,0,3,COMPREHENSIVE,500,45,271.02,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,1,SUV,CNG,31490.44,1120,3,0,33,7,13200,PERSONAL,EXCELLENT,0,0,THIRD_PARTY,250,0,577.45,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,8,SEDAN,PETROL,12694.96,1890,2,0,32,9,10900,PERSONAL,FAIR,0,1,ZERO_DEP_PREMIUM,250,20,575.8,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,15,COMMERCIAL_VAN,DIESEL,5600.77,1890,4,1,48,24,15000,PERSONAL,EXCELLENT,1,0,ZERO_DEP_PREMIUM,250,0,250.0,RURAL,STREET_PARKING
0,0.0,0,0,3,SEDAN,CNG,11652.23,1940,3,1,30,9,20100,COMMUTE,EXCELLENT,1,0,THIRD_PARTY,500,25,250.0,METROPOLITAN,LOCKED_GARAGE
0,0.0,0,0,8,SEDAN,PETROL,12655.04,1730,5,1,43,12,9600,COMMUTE,GOOD,0,1,THIRD_PARTY,2000,20,250.0,RURAL,PRIVATE_DRIVEWAY
0,0.0,0,0,2,SEDAN,PETROL,17576.12,860,4,0,42,19,32000,COMMUTE,GOOD,2,0,THIRD_PARTY,250,20,256.86,SUBURBAN,STREET_PARKING
0,0.0,0,0,13,TRUCK,DIESEL,8699.61,1790,5,0,51,18,5200,PERSONAL,GOOD,0,0,COMPREHENSIVE,2000,35,274.12,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,9,HATCHBACK,ELECTRIC,6372.61,3110,5,0,35,12,8700,PERSONAL,GOOD,2,1,COMPREHENSIVE,500,0,263.25,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,6,HATCHBACK,PETROL,10420.78,800,3,1,21,2,11000,COMMERCIAL,EXCELLENT,1,0,THIRD_PARTY,500,20,250.0,SUBURBAN,STREET_PARKING
0,0.0,0,0,4,SUV,DIESEL,26031.76,800,2,1,55,23,20100,COMMUTE,GOOD,0,0,COMPREHENSIVE,500,0,764.01,RURAL,PRIVATE_DRIVEWAY
0,0.0,0,0,10,SEDAN,PETROL,10816.85,2040,5,1,34,14,23500,PERSONAL,EXCELLENT,0,0,THIRD_PARTY,500,0,250.0,URBAN,STREET_PARKING
0,0.0,0,0,12,TRUCK,CNG,13622.48,1610,5,0,57,22,11800,RIDESHARE,POOR,1,0,COMPREHENSIVE,250,25,685.6,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,17,SEDAN,HYBRID,4893.57,2760,2,1,42,22,8400,RIDESHARE,EXCELLENT,0,1,ZERO_DEP_PREMIUM,250,50,250.0,RURAL,PRIVATE_DRIVEWAY
0,0.0,0,0,8,SEDAN,DIESEL,13468.04,3380,3,1,43,17,8100,PERSONAL,FAIR,1,0,COMPREHENSIVE,250,50,321.23,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,3,HATCHBACK,CNG,12511.68,1440,5,0,51,33,20200,RIDESHARE,POOR,1,0,COMPREHENSIVE,1000,20,560.54,URBAN,PRIVATE_DRIVEWAY
1,5422.46,0,25,15,SEDAN,DIESEL,5422.46,1800,5,0,51,25,6000,COMMUTE,GOOD,1,1,ZERO_DEP_PREMIUM,500,0,357.29,METROPOLITAN,STREET_PARKING
0,0.0,0,0,11,SEDAN,CNG,8751.36,800,4,1,41,11,15900,PERSONAL,EXCELLENT,1,0,COMPREHENSIVE,1000,20,250.0,SUBURBAN,LOCKED_GARAGE
1,4947.31,0,30,13,TRUCK,PETROL,11859.89,2970,3,0,36,15,16500,PERSONAL,FAIR,2,0,ZERO_DEP_PREMIUM,2000,50,250.0,RURAL,STREET_PARKING
0,0.0,0,0,1,SUV,PETROL,27520.4,800,5,1,41,18,16300,COMMERCIAL,FAIR,0,0,ZERO_DEP_PREMIUM,500,50,1300.23,URBAN,PRIVATE_DRIVEWAY
1,4906.33,0,18,5,SEDAN,HYBRID,18032.21,800,4,0,18,0,8900,COMMERCIAL,EXCELLENT,3,0,ZERO_DEP_PREMIUM,250,50,1063.27,METROPOLITAN,LOCKED_GARAGE
0,0.0,0,0,14,SUV,PETROL,8542.49,1680,4,0,56,17,5900,PERSONAL,FAIR,1,0,THIRD_PARTY,500,20,250.0,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,15,HATCHBACK,PETROL,4000.0,1960,5,1,30,11,14000,PERSONAL,POOR,2,1,THIRD_PARTY,250,45,250.0,RURAL,PRIVATE_DRIVEWAY
0,0.0,0,0,8,SEDAN,ELECTRIC,14583.78,800,5,0,35,12,18000,COMMUTE,EXCELLENT,2,0,COMPREHENSIVE,500,45,549.35,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,15,SEDAN,DIESEL,4645.74,1250,5,0,36,15,11600,RIDESHARE,POOR,1,0,COMPREHENSIVE,500,35,250.0,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,15,HATCHBACK,PETROL,4000.0,800,2,1,47,20,18100,PERSONAL,GOOD,0,0,ZERO_DEP_PREMIUM,2000,35,250.0,METROPOLITAN,STREET_PARKING
0,0.0,0,0,7,HATCHBACK,PETROL,7905.1,1390,5,0,40,20,13000,COMMUTE,FAIR,4,0,COMPREHENSIVE,2000,45,250.0,RURAL,PRIVATE_DRIVEWAY
0,0.0,0,0,17,LUXURY_COUPE,PETROL,16948.28,1980,4,1,51,16,17900,COMMUTE,FAIR,0,0,COMPREHENSIVE,500,20,631.52,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,5,SUV,PETROL,26491.84,1190,5,0,49,14,7200,COMMERCIAL,FAIR,0,0,THIRD_PARTY,500,0,479.47,SUBURBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,4,SEDAN,PETROL,15135.76,2020,5,0,31,8,12600,RIDESHARE,FAIR,0,0,THIRD_PARTY,250,35,264.86,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,12,HATCHBACK,DIESEL,6648.1,1780,4,0,31,9,25100,RIDESHARE,GOOD,0,0,ZERO_DEP_PREMIUM,500,35,438.18,METROPOLITAN,STREET_PARKING
0,0.0,0,0,12,HATCHBACK,ELECTRIC,4381.43,1960,1,1,38,15,10200,PERSONAL,EXCELLENT,0,1,COMPREHENSIVE,250,35,250.0,SUBURBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,2,SEDAN,PETROL,20427.46,1520,4,0,52,18,16300,COMMUTE,GOOD,1,3,COMPREHENSIVE,250,20,733.38,URBAN,LOCKED_GARAGE
0,0.0,0,0,15,HATCHBACK,PETROL,4000.0,2070,2,0,50,27,13800,PERSONAL,FAIR,1,0,THIRD_PARTY,250,0,250.0,RURAL,STREET_PARKING
0,0.0,0,0,3,SEDAN,DIESEL,18471.75,1580,4,0,51,28,10700,PERSONAL,GOOD,2,1,THIRD_PARTY,2000,0,250.0,SUBURBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,15,TRUCK,PETROL,8596.65,1980,5,0,38,14,19400,PERSONAL,FAIR,2,0,COMPREHENSIVE,250,0,281.99,RURAL,PRIVATE_DRIVEWAY
0,0.0,0,0,0,TRUCK,PETROL,42868.01,2670,3,0,56,26,9600,PERSONAL,POOR,1,0,THIRD_PARTY,500,35,469.63,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,15,SUV,PETROL,7180.24,1320,3,1,47,24,21100,PERSONAL,FAIR,1,0,ZERO_DEP_PREMIUM,250,35,266.47,SUBURBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,14,LUXURY_COUPE,DIESEL,12800.59,2290,4,0,34,16,18600,PERSONAL,GOOD,1,0,THIRD_PARTY,500,25,250.0,URBAN,LOCKED_GARAGE
0,0.0,0,0,14,LUXURY_COUPE,PETROL,14062.11,3190,5,0,38,13,5000,COMMERCIAL,GOOD,1,0,ZERO_DEP_PREMIUM,250,0,836.05,RURAL,LOCKED_GARAGE
0,0.0,0,0,12,SEDAN,PETROL,8777.32,2230,2,1,53,20,19200,PERSONAL,GOOD,2,0,THIRD_PARTY,500,45,250.0,RURAL,LOCKED_GARAGE
0,0.0,0,0,8,SUV,DIESEL,20609.01,1410,4,1,63,31,14700,PERSONAL,EXCELLENT,2,0,COMPREHENSIVE,500,0,719.26,SUBURBAN,LOCKED_GARAGE
1,4000.0,0,27,13,HATCHBACK,HYBRID,4000.0,2170,2,0,18,0,7000,COMMERCIAL,POOR,3,0,COMPREHENSIVE,2000,35,250.0,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,5,SEDAN,DIESEL,17507.48,800,4,0,46,12,10500,COMMUTE,GOOD,0,1,COMPREHENSIVE,500,25,623.39,METROPOLITAN,STREET_PARKING
0,0.0,0,0,14,SUV,CNG,6097.34,1410,2,0,20,2,8700,PERSONAL,EXCELLENT,1,0,COMPREHENSIVE,1000,0,250.32,METROPOLITAN,LOCKED_GARAGE
1,8125.6,0,14,10,SEDAN,DIESEL,9867.65,1110,3,0,32,9,16300,PERSONAL,GOOD,1,0,COMPREHENSIVE,1000,50,292.96,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,8,LUXURY_COUPE,PETROL,31124.54,2500,2,0,49,22,26500,PERSONAL,GOOD,0,0,COMPREHENSIVE,250,45,975.46,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,9,SUV,PETROL,17887.4,2080,2,1,44,12,13900,PERSONAL,FAIR,0,1,COMPREHENSIVE,500,25,442.49,RURAL,PRIVATE_DRIVEWAY
0,0.0,0,0,10,HATCHBACK,PETROL,6719.32,1960,2,0,31,11,10500,PERSONAL,FAIR,1,0,THIRD_PARTY,1000,0,250.0,METROPOLITAN,LOCKED_GARAGE
0,0.0,0,0,0,SUV,PETROL,35761.58,1870,2,1,36,12,13900,PERSONAL,POOR,0,0,COMPREHENSIVE,500,20,1208.78,METROPOLITAN,LOCKED_GARAGE
1,3728.57,0,13,2,SEDAN,PETROL,18886.3,1690,2,1,55,19,13200,PERSONAL,POOR,2,0,THIRD_PARTY,500,20,331.69,METROPOLITAN,STREET_PARKING
0,0.0,0,0,4,TRUCK,PETROL,28959.48,2200,5,1,43,14,17600,PERSONAL,FAIR,3,0,THIRD_PARTY,1000,0,426.94,SUBURBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,2,SEDAN,DIESEL,16057.37,2380,3,0,42,18,11200,COMMUTE,POOR,0,0,ZERO_DEP_PREMIUM,1000,0,574.27,RURAL,PRIVATE_DRIVEWAY
0,0.0,0,0,8,SEDAN,DIESEL,10796.53,800,4,1,56,35,2000,RIDESHARE,EXCELLENT,2,0,COMPREHENSIVE,500,35,689.38,METROPOLITAN,LOCKED_GARAGE
0,0.0,0,0,12,SUV,PETROL,12118.41,1170,4,1,53,16,14600,COMMUTE,POOR,0,0,THIRD_PARTY,1000,45,250.0,SUBURBAN,STREET_PARKING
0,0.0,0,0,12,HATCHBACK,DIESEL,4969.78,1870,5,1,37,10,12000,COMMUTE,POOR,2,0,COMPREHENSIVE,500,20,250.0,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,8,SUV,PETROL,18144.36,2590,5,0,51,30,6800,PERSONAL,GOOD,1,0,COMPREHENSIVE,250,50,513.45,METROPOLITAN,LOCKED_GARAGE
1,6333.0,0,23,16,SEDAN,DIESEL,6333.0,1380,1,0,38,17,12300,PERSONAL,POOR,2,0,COMPREHENSIVE,500,25,250.0,URBAN,LOCKED_GARAGE
0,0.0,0,0,10,SUV,DIESEL,12153.35,1430,3,0,43,24,22000,PERSONAL,FAIR,0,0,COMPREHENSIVE,500,45,257.91,SUBURBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,1,SEDAN,PETROL,22586.62,800,2,1,18,0,8300,COMMUTE,GOOD,1,0,COMPREHENSIVE,250,50,627.8,METROPOLITAN,STREET_PARKING
1,2812.52,0,21,14,SEDAN,PETROL,4721.76,1250,3,0,34,13,13200,RIDESHARE,GOOD,2,1,COMPREHENSIVE,500,25,293.32,METROPOLITAN,LOCKED_GARAGE
0,0.0,0,0,10,HATCHBACK,CNG,7417.27,2060,5,0,44,14,11200,COMMERCIAL,POOR,1,1,THIRD_PARTY,250,0,250.0,METROPOLITAN,LOCKED_GARAGE
0,0.0,0,0,12,SEDAN,DIESEL,7968.72,2630,3,1,26,5,5000,COMMUTE,POOR,1,2,COMPREHENSIVE,250,20,356.06,METROPOLITAN,LOCKED_GARAGE
0,0.0,0,0,10,SUV,DIESEL,16066.66,1410,2,0,37,14,15700,PERSONAL,GOOD,6,0,COMPREHENSIVE,250,20,808.76,METROPOLITAN,STREET_PARKING
0,0.0,0,0,10,HATCHBACK,PETROL,5769.56,1080,3,0,19,1,13600,COMMUTE,EXCELLENT,1,0,COMPREHENSIVE,1000,35,250.0,RURAL,STREET_PARKING
0,0.0,0,0,1,HATCHBACK,PETROL,16694.3,1650,5,1,52,25,28700,COMMERCIAL,EXCELLENT,0,1,ZERO_DEP_PREMIUM,2000,35,964.21,METROPOLITAN,STREET_PARKING
0,0.0,0,0,10,SEDAN,PETROL,12274.29,800,3,1,62,28,18600,COMMUTE,EXCELLENT,1,0,COMPREHENSIVE,500,20,436.75,METROPOLITAN,PRIVATE_DRIVEWAY
1,8413.16,0,18,15,SUV,CNG,8413.16,2400,2,0,28,9,19300,COMMUTE,EXCELLENT,3,0,THIRD_PARTY,500,25,250.0,METROPOLITAN,STREET_PARKING
0,0.0,0,0,5,SEDAN,PETROL,18199.45,800,5,1,20,1,8600,PERSONAL,GOOD,0,0,THIRD_PARTY,250,20,302.0,METROPOLITAN,LOCKED_GARAGE
